Perfume,Brand,Gender,Country,Citrus–Green,Amber–Resinous,Musky–Soapy,Marine–Ozonic,Spicy–Aromatic,Woody–Earthy,Floral–Powdery,Fruity–Tropical,Sweet–Gourmand,Smoky–Leathery
quickie-and-coffee,filippo-sorcinelli,unisex,Italy,0.0,0.2,0.12,0.1,0.06,0.0,0.06,0.0,0.46,0.0
orangerie-mimosa,faberlic,women,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0
aventhis,in-the-box,men,Brazil,0.06,0.28,0.0,0.0,0.0,0.32,0.0,0.06,0.28,0.0
212-heroes-collector-edition,carolina-herrera,men,USA,0.07,0.0,0.0,0.0,0.47,0.07,0.0,0.0,0.0,0.4
wild-carrot-oud,bohoboco,unisex,Poland,0.0,0.0,0.0,0.0,0.24,0.44,0.06,0.0,0.0,0.26
titaniks,dzintars,men,Latvia,0.0,0.28,0.0,0.12,0.12,0.34,0.14,0.0,0.0,0.0
neroli,aaron-terence-hughes,unisex,UK,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0
snow-palace,brocard,women,Russia,0.12,0.23,0.06,0.59,0.0,0.0,0.0,0.0,0.0,0.0
neroli-outrenoir-2024,guerlain,unisex,France,0.17,0.0,0.0,0.0,0.17,0.19,0.08,0.0,0.39,0.0
santal-rouge,il-profvmo,men,Italy,0.6,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
oud-luxuria,navitus-parfums,unisex,UAE,0.0,0.19,0.0,0.0,0.25,0.19,0.25,0.0,0.0,0.13
diesel-green-feminine-special-edition,diesel,women,Italy,0.06,0.28,0.0,0.0,0.34,0.06,0.26,0.0,0.0,0.0
whispers-of-temptation,house-of-sillage,unisex,USA,0.0,0.0,0.0,0.0,0.08,0.57,0.19,0.08,0.0,0.08
dodo-edition-2020,zoologist-perfumes,unisex,Canada,0.0,0.0,0.0,0.0,0.47,0.4,0.0,0.07,0.07,0.0
oshi,bi-es,women,Poland,0.08,0.0,0.0,0.0,0.08,0.08,0.76,0.0,0.0,0.0
spring-bloom,brocard,unisex,Russia,0.32,0.2,0.06,0.0,0.0,0.2,0.22,0.0,0.0,0.0
laaurora,ricardo-ramos-perfumes-de-autor,unisex,Spain,0.08,0.0,0.0,0.0,0.25,0.0,0.67,0.0,0.0,0.0
charming-snowdrop,pokrovka-trading-house,women,Russia,0.34,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
desir-infini,navitus-parfums,unisex,UAE,0.0,0.23,0.0,0.0,0.06,0.35,0.0,0.0,0.0,0.35
cafe,franck-boclet,unisex,France,0.0,0.16,0.0,0.0,0.06,0.28,0.14,0.0,0.37,0.0
1-million,paco-rabanne,men,Spain,0.06,0.18,0.0,0.0,0.21,0.24,0.09,0.0,0.0,0.24
erato,brocard,women,Russia,0.0,0.28,0.0,0.0,0.0,0.06,0.2,0.06,0.4,0.0
new-look-2024,dior,unisex,France,0.21,0.59,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
morayma,ricardo-ramos-perfumes-de-autor,women,Spain,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
flowers,franck-boclet,unisex,France,0.31,0.0,0.0,0.0,0.1,0.0,0.59,0.0,0.0,0.0
popper-pop,filippo-sorcinelli,unisex,Italy,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.06,0.65,0.0
kaorishiro,dilis-parfum,women,Turkey,0.4,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0
lesnaa-malina-i-dusica-wild-raspberries-and-oregano,brocard,women,Russia,0.0,0.0,0.07,0.0,0.0,0.0,0.4,0.07,0.47,0.0
collection-privee-brise-d-amour,faberlic,women,Russia,0.14,0.14,0.0,0.0,0.0,0.0,0.52,0.06,0.14,0.0
roma-eau-de-toilette-rosa,laura-biagiotti,women,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.47,0.0
campus,molinard,unisex,France,0.0,0.0,0.0,0.0,0.44,0.47,0.0,0.08,0.0,0.0
veneno,miguel-matos,unisex,Portugal,0.0,0.36,0.08,0.0,0.0,0.36,0.19,0.0,0.0,0.0
slightly-b-tch,filippo-sorcinelli,unisex,Italy,0.35,0.0,0.0,0.0,0.12,0.06,0.06,0.0,0.24,0.18
souvenir,faberlic,women,Russia,0.17,0.0,0.0,0.0,0.0,0.47,0.36,0.0,0.0,0.0
love-pulse,avon,women,USA,0.0,0.0,0.14,0.0,0.0,0.14,0.45,0.27,0.0,0.0
egeo-on-you,o-boticario,unisex,Brazil,0.2,0.28,0.0,0.0,0.32,0.2,0.0,0.0,0.0,0.0
uviolet,faberlic,women,Russia,0.38,0.23,0.0,0.0,0.0,0.0,0.08,0.08,0.23,0.0
scarlet-rain,mandarina-duck,women,Italy,0.17,0.47,0.0,0.0,0.0,0.0,0.28,0.08,0.0,0.0
western-leather-white,alexandre-j,women,France,0.17,0.0,0.08,0.0,0.0,0.0,0.59,0.08,0.08,0.0
little-mermaid,disney,women,USA,0.0,0.0,0.11,0.0,0.0,0.0,0.4,0.0,0.49,0.0
wild-orange,fragrance-du-bois,unisex,France,0.21,0.0,0.0,0.0,0.0,0.59,0.1,0.0,0.1,0.0
vf-virginia-fonseca-honey,we-pink,women,Brazil,0.06,0.0,0.0,0.0,0.06,0.34,0.0,0.0,0.34,0.2
muguet-du-bonheur-2021,caron,women,France,0.07,0.0,0.0,0.14,0.0,0.33,0.4,0.07,0.0,0.0
success,trump,men,USA,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.2
chic-blossom,haute-fragrance-company-hfc,women,France,0.08,0.28,0.08,0.0,0.0,0.0,0.17,0.0,0.0,0.39
synthetic-nature,frederic-malle,unisex,France,0.1,0.0,0.0,0.0,0.1,0.48,0.21,0.1,0.0,0.0
lagerfeld-femme,karl-lagerfeld,women,France,0.47,0.0,0.0,0.0,0.07,0.0,0.07,0.4,0.0,0.0
pearl,arabesque-perfumes,unisex,UAE,0.28,0.0,0.06,0.0,0.0,0.0,0.06,0.06,0.54,0.0
sweet-sin,vivamor-parfums,unisex,France,0.0,0.06,0.0,0.0,0.06,0.34,0.0,0.06,0.34,0.14
tutti-twilly-d-hermes,hermes,women,France,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.0
sankai-black,bi-es,men,Poland,0.1,0.0,0.0,0.0,0.56,0.1,0.24,0.0,0.0,0.0
forest-oud,the-dua-brand,unisex,USA,0.07,0.4,0.0,0.0,0.07,0.47,0.0,0.0,0.0,0.0
wood-flake,j-scent,unisex,Japan,0.0,0.0,0.08,0.0,0.08,0.08,0.28,0.0,0.47,0.0
glacier-athletic,oriflame,men,Sweden,0.1,0.48,0.0,0.0,0.31,0.1,0.0,0.0,0.0,0.0
fiori-di-luna,bi-es,women,Poland,0.17,0.0,0.17,0.0,0.0,0.66,0.0,0.0,0.0,0.0
svetskaya-lvitsa,brocard,women,Russia,0.39,0.0,0.08,0.0,0.0,0.08,0.36,0.08,0.0,0.0
sunshine-kiss,avon,women,USA,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0
away-weekend-man,abercrombie-fitch,men,USA,0.06,0.0,0.0,0.0,0.32,0.34,0.0,0.0,0.28,0.0
sepia,aftelier,unisex,USA,0.06,0.06,0.06,0.0,0.0,0.29,0.06,0.0,0.23,0.23
rives,ellis-brooklyn,unisex,USA,0.14,0.0,0.14,0.0,0.58,0.0,0.14,0.0,0.0,0.0
celebre-ice,avon,women,USA,0.28,0.0,0.06,0.0,0.0,0.16,0.35,0.0,0.16,0.0
purple-elixir,alyssa-ashley,women,USA,0.0,0.58,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.0
gaultier-divine-le-parfum,jean-paul-gaultier,women,France,0.1,0.59,0.0,0.0,0.0,0.0,0.21,0.1,0.0,0.0
eye-to-eye-vlublena,faberlic,women,Russia,0.0,0.0,0.0,0.0,0.4,0.0,0.14,0.06,0.4,0.0
shisha-lounge,ricardo-ramos-perfumes-de-autor,unisex,Spain,0.0,0.29,0.0,0.0,0.12,0.12,0.0,0.0,0.29,0.18
filth,aaron-terence-hughes,unisex,UK,0.0,0.18,0.06,0.0,0.06,0.29,0.0,0.0,0.12,0.29
dragon,boadicea-the-victorious,unisex,UK,0.0,0.26,0.0,0.0,0.34,0.0,0.06,0.0,0.28,0.06
deep-dark-vanilla,ds-durga,unisex,USA,0.06,0.0,0.0,0.0,0.06,0.34,0.0,0.0,0.54,0.0
red-roses-cologne-2023,jo-malone-london,women,UK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
elvie-white-magic,oriflame,women,Sweden,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0
flower-fresh,faberlic,women,Russia,0.4,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0
d-red-by-diesel,diesel,unisex,Italy,0.14,0.0,0.0,0.0,0.72,0.14,0.0,0.0,0.0,0.0
dolly-girl-lil-starlet,anna-sui,women,USA,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0
a-oud-ancienne,rogue-perfumery,unisex,USA,0.33,0.0,0.0,0.0,0.07,0.14,0.0,0.0,0.33,0.14
men-brahma,o-boticario,men,Brazil,0.07,0.33,0.0,0.0,0.21,0.4,0.0,0.0,0.0,0.0
yucatan-secret,comptoir-sud-pacifique,unisex,France,0.0,0.39,0.0,0.17,0.36,0.08,0.0,0.0,0.0,0.0
vanilla-milk,ellis-brooklyn,women,USA,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.76,0.0
vodka-pink,paris-elysees,women,India,0.0,0.0,0.0,0.0,0.0,0.64,0.36,0.0,0.0,0.0
champagne-royale,navitus-parfums,unisex,UAE,0.29,0.0,0.0,0.0,0.3,0.06,0.12,0.0,0.0,0.23
lamborghini,jequiti,men,Brazil,0.4,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.33,0.0
fashionista,ellen-tracy,women,USA,0.0,0.0,0.0,0.0,0.0,0.39,0.44,0.08,0.08,0.0
revelation,cb-i-hate-perfume,unisex,USA,0.17,0.39,0.0,0.0,0.0,0.08,0.0,0.0,0.36,0.0
floral-musk,attar-collection,unisex,UAE,0.0,0.34,0.1,0.0,0.0,0.0,0.1,0.0,0.45,0.0
muna,lattafa-perfumes,unisex,UAE,0.08,0.0,0.08,0.0,0.0,0.47,0.36,0.0,0.0,0.0
love-forever-white,bi-es,women,Poland,0.25,0.0,0.0,0.0,0.0,0.39,0.28,0.08,0.0,0.0
sin,bi-es,women,Poland,0.26,0.26,0.0,0.0,0.0,0.26,0.1,0.06,0.06,0.0
e-l,zarkoperfume,unisex,Denmark,0.6,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0
fcuk-him,fcuk,men,UK,0.06,0.0,0.0,0.0,0.47,0.23,0.0,0.0,0.23,0.0
ehsas,al-haramain-perfumes,unisex,UAE,0.0,0.06,0.06,0.0,0.0,0.36,0.52,0.0,0.0,0.0
avon-luck-eau-so-happy,avon,women,USA,0.0,0.0,0.26,0.0,0.0,0.0,0.48,0.0,0.26,0.0
phantom-legion,paco-rabanne,men,Spain,0.06,0.0,0.0,0.0,0.45,0.34,0.0,0.0,0.16,0.0
vanilla-sex,tom-ford,unisex,USA,0.18,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.67,0.0
giordani-gold,oriflame,women,Sweden,0.0,0.0,0.11,0.0,0.0,0.49,0.4,0.0,0.0,0.0
commedia-dell-arte,brocard,women,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.86,0.0
sea-sparkle,brocard,unisex,Russia,0.17,0.0,0.0,0.64,0.19,0.0,0.0,0.0,0.0,0.0
show-off,charriol,women,Switzerland,0.07,0.33,0.0,0.0,0.0,0.07,0.47,0.07,0.0,0.0
wednesday,house-of-sillage,unisex,USA,0.0,0.0,0.0,0.0,0.14,0.47,0.4,0.0,0.0,0.0
colore-colore-violet,parfums-genty,women,Russia,0.16,0.0,0.0,0.0,0.0,0.33,0.16,0.17,0.17,0.0
gourmand-bakhoor-dehn-al-oud,jousset-parfums,unisex,France,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.78,0.0
cherry-bloom,bi-es,women,Poland,0.2,0.0,0.0,0.0,0.0,0.0,0.54,0.16,0.1,0.0
le-secret-du-charme,brocard,women,Russia,0.07,0.33,0.0,0.0,0.0,0.07,0.07,0.07,0.4,0.0
mexx-spring-is-now-woman,mexx,women,Netherlands,0.27,0.0,0.0,0.0,0.0,0.0,0.59,0.14,0.0,0.0
presenze,hilde-soliani,unisex,Italy,0.06,0.34,0.0,0.0,0.06,0.2,0.06,0.0,0.28,0.0
whispers-of-strength,house-of-sillage,women,USA,0.0,0.28,0.0,0.0,0.0,0.0,0.32,0.12,0.28,0.0
here-to-stay,naomi-campbell,women,USA,0.0,0.0,0.08,0.0,0.0,0.0,0.36,0.08,0.47,0.0
deja-vu,teo-cabanel,unisex,France,0.08,0.0,0.0,0.0,0.0,0.0,0.36,0.08,0.08,0.39
active-water,sergio-tacchini,men,Italy,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0
colore-colore-pink,parfums-genty,women,Russia,0.12,0.0,0.0,0.0,0.0,0.32,0.32,0.12,0.12,0.0
opulentas,navitus-parfums,unisex,UAE,0.0,0.2,0.0,0.0,0.0,0.58,0.16,0.06,0.0,0.0
clean-baby-girl,clean,women,USA,0.08,0.0,0.0,0.0,0.47,0.0,0.44,0.0,0.0,0.0
h2eau-golden-citrus,clean,unisex,USA,0.4,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
al-misk,ricardo-ramos-perfumes-de-autor,unisex,Spain,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
sweet-spoiled,haute-fragrance-company-hfc,women,France,0.0,0.06,0.0,0.0,0.18,0.23,0.0,0.0,0.29,0.23
indomptee,lulu-castagnette,women,France,0.12,0.0,0.0,0.0,0.0,0.28,0.42,0.12,0.06,0.0
spring-narcissus,pokrovka-trading-house,women,Russia,0.06,0.0,0.0,0.0,0.12,0.23,0.29,0.0,0.29,0.0
aspire,avon,women,USA,0.21,0.0,0.0,0.0,0.0,0.1,0.69,0.0,0.0,0.0
sirenis,les-liquides-imaginaires,unisex,France,0.0,0.33,0.07,0.0,0.07,0.4,0.14,0.0,0.0,0.0
lovely-kiss,salvador-dali,women,Spain,0.17,0.0,0.0,0.0,0.0,0.39,0.28,0.08,0.08,0.0
poggia,tiziana-terenzi,unisex,Italy,0.23,0.0,0.07,0.0,0.14,0.0,0.16,0.0,0.4,0.0
t-shelby,calaj,unisex,Romania,0.0,0.08,0.0,0.36,0.08,0.47,0.0,0.0,0.0,0.0
strast,brocard,women,Russia,0.08,0.39,0.0,0.0,0.0,0.0,0.28,0.17,0.08,0.0
cashmere-kush,boy-smells,unisex,USA,0.0,0.2,0.2,0.0,0.0,0.2,0.4,0.0,0.0,0.0
my-sin,lanvin,women,France,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.14,0.14,0.0
fortuna,electimuss,unisex,UK,0.0,0.0,0.0,0.0,0.12,0.62,0.26,0.0,0.0,0.0
love,avon,women,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.34,0.34,0.0
egeo-choc-mint,o-boticario,unisex,Brazil,0.06,0.0,0.0,0.0,0.46,0.34,0.0,0.0,0.14,0.0
cherchez-la-femme,faberlic,women,Russia,0.27,0.0,0.0,0.0,0.14,0.14,0.45,0.0,0.0,0.0
dominant,antonio-maretti,men,Italy,0.0,0.0,0.0,0.0,0.41,0.1,0.0,0.0,0.48,0.0
cherish-escape,avon,women,USA,0.06,0.23,0.0,0.0,0.0,0.0,0.47,0.0,0.23,0.0
pur-blanca-elegance,avon,women,USA,0.0,0.48,0.1,0.0,0.0,0.0,0.21,0.1,0.1,0.0
paper,commodity,unisex,USA,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
rose-amber-cologne-2024,jo-malone-london,women,UK,0.0,0.34,0.06,0.0,0.06,0.28,0.26,0.0,0.0,0.0
flower-by-kenzo-summer-2008,kenzo,women,France,0.14,0.0,0.0,0.0,0.14,0.0,0.72,0.0,0.0,0.0
crystal,bi-es,women,Poland,0.12,0.28,0.06,0.0,0.0,0.0,0.2,0.0,0.34,0.0
pink-taxi,brocard,women,Russia,0.0,0.32,0.09,0.0,0.0,0.0,0.25,0.09,0.25,0.0
zest-z-t,borntostandout,unisex,South Korea,0.0,0.0,0.0,0.0,0.41,0.59,0.0,0.0,0.0,0.0
urbane,vivamor-parfums,unisex,France,0.08,0.47,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0
silent,parfums-genty,women,Russia,0.56,0.0,0.08,0.0,0.0,0.0,0.28,0.08,0.0,0.0
goji,l-erbolario,unisex,Italy,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.06,0.23,0.0
aventus-oil,creed,men,France,0.0,0.0,0.0,0.0,0.0,0.37,0.16,0.07,0.33,0.07
more-is-more,wilgermain,unisex,Spain,0.0,0.0,0.0,0.0,0.14,0.33,0.37,0.0,0.0,0.16
cherry-lady-delicious,brocard,women,Russia,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.7,0.0
slytherin-parfum,house-of-sillage,unisex,USA,0.07,0.0,0.0,0.0,0.14,0.47,0.16,0.0,0.0,0.16
whispers-of-time,house-of-sillage,women,USA,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0
the-lawyer,zarkoperfume,unisex,Denmark,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.31,0.0
bonne-etoile-baby-dior,dior,unisex,France,0.39,0.0,0.21,0.0,0.0,0.0,0.4,0.0,0.0,0.0
habit-rouge-l-instinct,guerlain,men,France,0.26,0.0,0.0,0.0,0.25,0.14,0.07,0.0,0.14,0.14
neroli-portofino-parfum,tom-ford,unisex,USA,0.1,0.6,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
shahrazad-saherezada,brocard,women,Russia,0.06,0.34,0.0,0.0,0.0,0.0,0.32,0.0,0.28,0.0
oceanica,faberlic,women,Russia,0.14,0.0,0.0,0.41,0.0,0.0,0.45,0.0,0.0,0.0
life-is-now-for-him,mexx,men,Netherlands,0.0,0.0,0.0,0.08,0.36,0.47,0.0,0.08,0.0,0.0
osmanthus-fragrans,acqua-di-stresa,women,Italy,0.0,0.39,0.0,0.0,0.0,0.0,0.44,0.08,0.08,0.0
campfire-rebel,pinrose,women,USA,0.0,0.06,0.0,0.0,0.0,0.26,0.0,0.0,0.28,0.4
maroon,max-philip,women,France,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.24,0.18
pineapple,max-philip,unisex,France,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.3,0.47,0.0
summer-white,avon,women,USA,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
xi-an,guerlain,unisex,France,0.0,0.0,0.0,0.0,0.18,0.18,0.64,0.0,0.0,0.0
hyrax,zoologist-perfumes,unisex,Canada,0.0,0.26,0.12,0.0,0.0,0.26,0.2,0.0,0.0,0.16
puressence-by-ecobeauty,oriflame,women,Sweden,0.17,0.0,0.0,0.0,0.17,0.08,0.19,0.0,0.39,0.0
sorbet-jolie,faberlic,women,Russia,0.47,0.0,0.08,0.0,0.0,0.0,0.28,0.08,0.08,0.0
citronica,faberlic,women,Russia,0.1,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0
magda,lubin,women,France,0.0,0.0,0.0,0.0,0.12,0.06,0.18,0.29,0.35,0.0
varens-original-borneo-dream,ulric-de-varens,women,France,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.0,0.0
zwinger,rammstein,men,Germany,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretty-glamorous,avon,women,USA,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
wellness-by-clean-harmony,clean,women,USA,0.14,0.0,0.0,0.0,0.27,0.14,0.45,0.0,0.0,0.0
amabile,xerjoff,unisex,Italy,0.29,0.0,0.0,0.0,0.12,0.29,0.06,0.0,0.23,0.0
les-fashion-stiletto,bi-es,women,Poland,0.0,0.0,0.0,0.0,0.0,0.07,0.4,0.07,0.47,0.0
faberlic-by-valentin-yudashkin-rose,faberlic,women,Russia,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0
velvet-amber,fragrance-du-bois,unisex,France,0.0,0.14,0.0,0.0,0.12,0.4,0.07,0.0,0.14,0.13
delicious-kisses,haute-fragrance-company-hfc,women,France,0.0,0.0,0.0,0.0,0.0,0.32,0.62,0.06,0.0,0.0
lulucastagnette,lulu-castagnette,women,France,0.0,0.0,0.0,0.0,0.0,0.34,0.2,0.06,0.4,0.0
paper,commodity,men,USA,0.0,0.48,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.0
lili-fantasy,juliette-has-a-gun,women,France,0.0,0.47,0.17,0.0,0.0,0.0,0.36,0.0,0.0,0.0
dodo,zoologist-perfumes,unisex,Canada,0.0,0.34,0.0,0.0,0.12,0.34,0.14,0.06,0.0,0.0
water-ivy,brocard,women,Russia,0.4,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
collapse-of-hedonism-krakh-gedonizma,khaikin,unisex,Russia,0.0,0.0,0.0,0.28,0.06,0.06,0.14,0.06,0.2,0.2
jamaica-2-woman,puma,women,Germany,0.06,0.0,0.0,0.12,0.0,0.34,0.2,0.0,0.28,0.0
moscow-waltz-moskovskij-val-s,ladanika,unisex,Russia,0.0,0.0,0.0,0.0,0.0,0.18,0.76,0.06,0.0,0.0
ume,euphorium-brooklyn,unisex,USA,0.4,0.0,0.0,0.0,0.0,0.47,0.07,0.07,0.0,0.0
musk-makkah,el-nabil,unisex,France,0.0,0.28,0.06,0.0,0.14,0.0,0.06,0.06,0.4,0.0
enjoy,franck-boclet,women,France,0.08,0.0,0.0,0.0,0.44,0.0,0.47,0.0,0.0,0.0
cocaine,franck-boclet,unisex,France,0.13,0.0,0.0,0.0,0.0,0.13,0.18,0.06,0.37,0.13
plumes,ds-durga,unisex,USA,0.0,0.0,0.0,0.0,0.08,0.08,0.44,0.39,0.0,0.0
le-male-xmas-limited-edition,jean-paul-gaultier,men,France,0.08,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.47,0.0
floratta-in-gold,o-boticario,women,Brazil,0.0,0.59,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.0
prada-paradoxe-virtual-flower,prada,women,Italy,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0
glacier-ice,oriflame,men,Sweden,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0
u,adolfo-dominguez,women,Spain,0.08,0.0,0.0,0.0,0.0,0.47,0.36,0.08,0.0,0.0
alatau,faberlic,women,Russia,0.12,0.23,0.0,0.06,0.06,0.29,0.23,0.0,0.0,0.0
walk-of-shame,antonio-maretti,women,Italy,0.27,0.0,0.0,0.0,0.0,0.14,0.32,0.14,0.14,0.0
gisada-donna,gisada,women,Switzerland,0.0,0.0,0.06,0.0,0.06,0.14,0.58,0.0,0.16,0.0
mercedes-benz-for-her-fanciful-edition,mercedes-benz,women,Germany,0.47,0.08,0.08,0.0,0.0,0.0,0.36,0.0,0.0,0.0
eclat-d-arpege-limited-edition,lanvin,women,France,0.08,0.39,0.0,0.0,0.0,0.08,0.36,0.08,0.0,0.0
malta,thera-cosmeticos,men,Brazil,0.0,0.1,0.0,0.1,0.21,0.48,0.0,0.0,0.0,0.1
sagira,spirit-of-kings,unisex,UK,0.07,0.0,0.0,0.0,0.0,0.23,0.7,0.0,0.0,0.0
eva,eva-longoria,women,USA,0.17,0.39,0.0,0.0,0.08,0.0,0.36,0.0,0.0,0.0
cologne-de-la-terre,bortnikoff,unisex,Thailand,0.45,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.24,0.0
scentini-citrus-chill,avon,women,USA,0.14,0.47,0.0,0.0,0.0,0.0,0.14,0.25,0.0,0.0
